provider,cidr,region
aws,54.182.0.0/16,GLOBAL
aws,54.192.0.0/16,GLOBAL
aws,54.230.0.0/16,GLOBAL
aws,54.239.128.0/18,GLOBAL
aws,54.239.192.0/19,GLOBAL
aws,54.240.128.0/18,GLOBAL
aws,58.254.138.0/25,GLOBAL
aws,58.254.138.128/26,GLOBAL
aws,63.246.114.0/23,GLOBAL
aws,63.246.120.0/21,GLOBAL
aws,64.252.64.0/18,GLOBAL
aws,64.252.128.0/18,GLOBAL
aws,65.8.0.0/16,GLOBAL
aws,65.9.0.0/17,GLOBAL
aws,65.9.128.0/18,GLOBAL
aws,70.132.0.0/18,GLOBAL
aws,71.152.0.0/17,GLOBAL
aws,75.2.0.0/17,GLOBAL
aws,76.223.0.0/17,GLOBAL
aws,76.223.169.0/24,GLOBAL
aws,93.77.128.0/19,GLOBAL
aws,99.77.128.0/18,GLOBAL
aws,99.82.8.0/21,GLOBAL
aws,99.82.156.0/22,GLOBAL
aws,99.82.176.0/21,GLOBAL
aws,99.83.64.0/21,GLOBAL
aws,99.83.88.0/21,GLOBAL
aws,99.83.112.0/21,GLOBAL
aws,99.83.128.0/17,GLOBAL
aws,99.84.0.0/16,GLOBAL
aws,99.86.0.0/16,GLOBAL
aws,99.181.64.0/18,GLOBAL
aws,103.53.48.0/22,GLOBAL
aws,108.138.0.0/15,GLOBAL
aws,108.156.0.0/14,GLOBAL
aws,111.13.171.128/25,GLOBAL
aws,111.13.185.32/27,GLOBAL
aws,111.13.185.64/27,GLOBAL
aws,116.129.226.0/25,GLOBAL
aws,116.129.226.128/26,GLOBAL
aws,118.193.97.64/26,GLOBAL
aws,118.193.97.128/25,GLOBAL
aws,119.147.182.0/25,GLOBAL
aws,119.147.182.128/26,GLOBAL
aws,120.52.12.64/26,GLOBAL
aws,120.52.22.96/27,GLOBAL
aws,120.52.39.128/27,GLOBAL
aws,120.52.153.192/26,GLOBAL
aws,120.232.236.0/25,GLOBAL
aws,120.232.236.128/26,GLOBAL
aws,120.253.240.192/26,GLOBAL
aws,120.253.241.160/27,GLOBAL
aws,120.253.245.128/26,GLOBAL
aws,120.253.245.192/27,GLOBAL
aws,130.176.0.0/17,GLOBAL
aws,130.176.128.0/18,GLOBAL
aws,130.176.192.0/19,GLOBAL
aws,130.176.224.0/20,GLOBAL
aws,130.176.254.0/23,GLOBAL
aws,143.204.0.0/16,GLOBAL
aws,144.220.0.0/16,GLOBAL
aws,151.148.8.0/21,GLOBAL
aws,159.248.232.0/21,GLOBAL
aws,159.248.240.0/21,GLOBAL
aws,166.117.0.0/16,GLOBAL
aws,180.163.57.0/25,GLOBAL
aws,180.163.57.128/26,GLOBAL
aws,185.42.204.0/22,GLOBAL
aws,192.16.64.0/21,GLOBAL
aws,192.108.239.0/24,GLOBAL
aws,192.157.72.0/23,GLOBAL
aws,199.9.248.0/21,GLOBAL
aws,204.246.164.0/22,GLOBAL
aws,204.246.168.0/21,GLOBAL
aws,204.246.176.0/20,GLOBAL
aws,205.251.192.0/19,GLOBAL
aws,205.251.249.0/24,GLOBAL
aws,205.251.250.0/23,GLOBAL
aws,205.251.252.0/23,GLOBAL
aws,205.251.254.0/24,GLOBAL
aws,216.39.168.0/21,GLOBAL
aws,216.137.32.0/19,GLOBAL
aws,2400:7fc0:500::/40,GLOBAL
aws,2404:c2c0:500::/40,GLOBAL
aws,2409:8c00:2421:300::/56,GLOBAL
aws,2409:8c00:2421:400::/56,GLOBAL
aws,2600:9000:ddd::/48,GLOBAL
aws,2600:9000:eee::/48,GLOBAL
aws,2600:9000:fff::/48,GLOBAL
aws,2600:9000:1000::/36,GLOBAL
aws,2600:9000:2000::/35,GLOBAL
aws,2600:9000:4000::/36,GLOBAL
aws,2600:9000:5200::/39,GLOBAL
aws,2600:9000:a100::/40,GLOBAL
aws,2600:9000:a200::/39,GLOBAL
aws,2600:9000:a400::/38,GLOBAL
aws,2600:9000:a800::/37,GLOBAL
aws,2600:9000:f000::/36,GLOBAL
aws,2600:f0f0:601::/48,GLOBAL
aws,2600:f0f0:602::/47,GLOBAL
aws,2600:f0f0:1100::/40,GLOBAL
aws,2600:f0f0:4100::/40,GLOBAL
aws,2600:f0f0:5504::/46,GLOBAL
aws,2600:f0f2:7100::/40,GLOBAL
aws,2605:9cc0:1ff0:1000::/52,GLOBAL
aws,2605:9cc0:1ff0:2300::/56,GLOBAL
aws,2605:9cc0:1ff0:2800::/56,GLOBAL
aws,2605:9cc0:1ff0:2d00::/56,GLOBAL
aws,2605:9cc0:1ff0:4000::/54,GLOBAL
aws,2605:9cc0:1ff0:7200::/56,GLOBAL
aws,2605:9cc0:1ff0:8200::/56,GLOBAL
aws,2606:7b40:1b10::/44,GLOBAL
aws,2606:7b40:1b20::/43,GLOBAL
aws,2606:7b40:1b40::/42,GLOBAL
aws,2606:7b40:1b80::/44,GLOBAL
aws,2620:107:3001::/48,GLOBAL
aws,2620:107:4008::/45,GLOBAL
aws,1.178.18.0/24,af-south-1
aws,3.2.87.0/24,af-south-1
aws,3.5.202.0/23,af-south-1
aws,3.5.228.0/22,af-south-1
aws,3.43.128.0/18,af-south-1
aws,13.244.0.0/14,af-south-1
aws,15.103.0.0/16,af-south-1
aws,15.177.91.0/24,af-south-1
aws,15.193.10.0/24,af-south-1
aws,15.221.52.0/24,af-south-1
aws,15.230.72.64/26,af-south-1
aws,15.230.72.128/25,af-south-1
aws,15.230.138.0/24,af-south-1
aws,15.240.0.0/15,af-south-1
aws,16.6.0.0/16,af-south-1
aws,16.11.0.0/16,af-south-1
aws,16.28.0.0/14,af-south-1
aws,16.154.0.0/15,af-south-1
aws,18.99.144.0/20,af-south-1
aws,35.71.103.0/24,af-south-1
aws,35.96.40.0/24,af-south-1
aws,52.93.57.0/24,af-south-1
aws,52.93.126.146/31,af-south-1
aws,52.94.30.0/24,af-south-1
aws,52.94.249.176/28,af-south-1
aws,52.95.175.0/24,af-south-1
aws,52.95.176.0/24,af-south-1
aws,52.95.180.0/24,af-south-1
aws,52.95.229.0/24,af-south-1
aws,54.239.1.128/28,af-south-1
aws,96.0.36.0/22,af-south-1
aws,96.0.40.0/21,af-south-1
aws,99.77.148.0/24,af-south-1
aws,99.77.235.0/24,af-south-1
aws,99.78.128.0/20,af-south-1
aws,99.78.144.0/21,af-south-1
aws,99.78.152.0/22,af-south-1
aws,99.150.104.0/21,af-south-1
aws,150.222.48.160/27,af-south-1
aws,150.222.48.192/26,af-south-1
aws,150.222.92.0/22,af-south-1
aws,150.222.208.0/24,af-south-1
aws,216.198.232.0/24,af-south-1
aws,2400:6500:0:7700::/56,af-south-1
aws,2406:da00:1000::/40,af-south-1
aws,2406:da11::/36,af-south-1
aws,2406:da21::/36,af-south-1
aws,2406:da30:1000::/40,af-south-1
aws,2406:da32:1000::/40,af-south-1
aws,2406:da36:1000::/40,af-south-1
aws,2406:da38:1000::/40,af-south-1
aws,2406:da60:1000::/40,af-south-1
aws,2406:da61:1000::/40,af-south-1
aws,2406:da70:1000::/40,af-south-1
aws,2406:daa0:1000::/40,af-south-1
aws,2406:dab9:1000::/40,af-south-1
aws,2406:dabb:1000::/40,af-south-1
aws,2406:daea:1000::/40,af-south-1
aws,2406:daeb:1000::/40,af-south-1
aws,2406:daef:1000::/40,af-south-1
aws,2406:daf0:1000::/40,af-south-1
aws,2406:daf2:1000::/40,af-south-1
aws,2406:daf3:1000::/40,af-south-1
aws,2406:daf4:1000::/40,af-south-1
aws,2406:daf6:1000::/40,af-south-1
aws,2406:daf8:1000::/40,af-south-1
aws,2406:daf9:1000::/40,af-south-1
aws,2406:dafc:1000::/40,af-south-1
aws,2406:dafe:1000::/40,af-south-1
aws,2406:daff:1000::/40,af-south-1
aws,2600:f0f0:4144::/48,af-south-1
aws,2600:f0f0:6119::/48,af-south-1
aws,2600:f0f0:8109::/48,af-south-1
aws,2600:f0f1:88::/48,af-south-1
aws,2600:f0f1:4180::/42,af-south-1
aws,2600:f0f2:710b::/48,af-south-1
aws,2606:7b40:10ff:60::/59,af-south-1
aws,2606:7b40:1b08::/55,af-south-1
aws,1.178.103.0/24,ap-east-1
aws,3.2.81.0/24,ap-east-1
aws,3.5.214.0/23,ap-east-1
aws,3.5.236.0/22,ap-east-1
aws,3.45.0.0/18,ap-east-1
aws,13.248.32.0/19,ap-east-1
aws,15.177.85.0/24,ap-east-1
aws,15.177.86.0/24,ap-east-1
aws,15.230.73.192/26,ap-east-1
aws,15.230.74.0/25,ap-east-1
aws,16.12.6.0/23,ap-east-1
aws,16.12.8.0/24,ap-east-1
aws,16.106.0.0/15,ap-east-1
aws,16.162.0.0/15,ap-east-1
aws,18.99.176.0/20,ap-east-1
aws,18.162.0.0/15,ap-east-1
aws,18.166.0.0/15,ap-east-1
aws,35.26.0.0/15,ap-east-1
aws,35.34.102.0/24,ap-east-1
aws,35.54.51.0/24,ap-east-1
aws,35.71.107.0/24,ap-east-1
aws,43.198.0.0/15,ap-east-1
aws,43.249.47.0/24,ap-east-1
aws,45.33.165.0/24,ap-east-1
aws,52.93.35.0/24,ap-east-1
aws,52.93.156.0/22,ap-east-1
aws,52.94.249.144/28,ap-east-1
aws,52.95.160.0/23,ap-east-1
aws,52.95.162.0/24,ap-east-1
aws,52.95.226.0/24,ap-east-1
aws,52.119.248.0/24,ap-east-1
aws,52.144.224.192/26,ap-east-1
aws,52.144.225.0/26,ap-east-1
aws,54.46.0.0/17,ap-east-1
aws,54.239.1.80/28,ap-east-1
aws,54.240.241.0/24,ap-east-1
